,mixed_corpus
0,"कोमल झा  (English : komal jha , Telugu: కోమల్ ఝా, Kannada: ಕೋಮಲ್ ಝಾ, Tamil: கோமல் ஜா, Malayalam: കോമള ജാ),(जन्म  15  मार्च 1987) यह एक भारतीय मूवी अभिनेत्री  और लेखिका ..झा ने करियर की स्थापना की  तेलुगु, कन्नड़, Malayalam cinema मलयालम  और अब Bollywood ,Hindi   फिल्म उद्योग और एक सिविल इंजीनियर होने से लेकर अभिनेत्री बनने एक सिविल इंजीनियर से अभिनेत्री बनने के लिए अपने करियर परिवर्तन के लिए कुछ कुछ दिनों तक फिल्म उद्योग बनने तक, और चिन्ना सिनेमा  में अत्यधिक काम किया है अपनी भूमिकाओं के लिए खूब जानी जाते हैं उन्होंने Bollywood में भी काम किया है  यह   Bollywood  और चिन्ना सिनेमा में उनकी भूमिकाओं के लिए अभिनय के अलावा, झा स्टेज शो में भाग लेती है और मुख्य रूप से South India में कुछ ब्रांडों का समर्थन करती हैझा ने अपने अभिनय की शुरुआत 2009 Bollywood फिल्म  3 इडियट्स 'के साथ की थी, कॉलेज में भाग लेने के दौरान और उनकी पहली  मलयालम फिल्म२०१० में रिलीज़ हुई,   २४ घंटे ’’ उसी वर्ष झा Dubai के लिए रवाना हो गए. उन्होंने संयुक्त अरब अमीरात, Dubai में स्थित एक अंतरराष्ट्रीय निर्माण फर्म के साथ नौकरी कर ली...संयुक्त अरब अमीरात, Dubai में स्थित एक अंतरराष्ट्रीय निर्माण फर्म के साथ काम कियासन्दर्भबाहरी कड़ियाँआधिकारिक जालस्थलKomal Jha IMDb profile'"
1,मधुरिमा तुली या मधुरिमा तुल्ली (संथाली: ᱢᱟᱫᱷᱩᱨᱤᱢᱟ ᱛᱩᱞᱤ) एक भारतीय फिल्म अभिनेत्री हैं यह Hindi के साथ साथ कन्नड़ और Telugu language फिल्मों में भी कार्य कर चुकी हैं अभिनेत्री मधुरिमा तुली चंद्रकांता में शीर्षक भूमिका में नजर आएंगीफिल्मबचना ए हसीनोंटॉसकालोक्या करें क्या ना करेंवार्निंग गुंजनबेबीHamari Adhuri Kahaniधारावाहिककस्तुरी - तनुश्रीझाँसी की रानी - गायत्रीरंग बदलतीओढनीपरिचयKumkum Bhagyaचंद्रकांताइन्हें भी देखेंHuma Qureshi (actress)Zareen KhanSana KhanElli AvrRamRakul Preet SinghKainaat AroraRiya Senसन्दर्भबाहरी कड़ियाँIMDb पर मधुरिमा तुलीIMDb पर मधुरिमा तुल्ली
2,मीनाक्षी शेषाद्रि एक भारतीय अभिनेत्री हैं श्रीमती शेषाद्री का जन्म वर्तमान झारखंड प्रांत के Sindri नामक शहर में १३ नवंबर 1963 को हुआ था वैसे मीनाक्षी जी मूलतः तमिलनाडु से हैं परंतु उनके पिता Sindri के उर्वरक कारखाने में कार्यरत होने के बाद उनका परिवार इसी शहर में बस गया थाइनके पति का नाम मेसोर हैफिल्मी सफरमीनाक्षी के सन 1981 में मिस इंडिया बनने के बाद उनके फिल्मी कैरियर की शुरुआत पहली बार नायिका के तौर पर १९८२ में बनी हिन्दी फिल्म पेंटर बाबू से हुआप्रमुख फिल्में पुरस्कार 
3,"प्रियंका चोपड़ा (संथाली: ᱯᱨᱤᱭᱚᱝᱠᱟ ᱪᱚᱯᱨᱟ) (जन्म: July 18, 1982) Hindi फ़िल्मों की एक अभिनेत्री हैंजीवन परिचयप्रियंका चोपड़ा  का जन्म 18 जुलाई 1982  को हुआ था वे एक Indiaीय फिल्म अभिनेत्री, गायक  और 2000 की मिस वर्ल्ड प्रतियोगिता की विजेता हैं उनके सफल फ़िल्मी कैरियर के माध्यम से, चोपड़ा बॉलीवुड की सबसे अधिक वेतन पाने वाली अभिनेत्रियों में से एक है और India में सबसे लोकप्रिय हस्तियों में से एक बन गयी है उन्होंने एक सर्वश्रेष्ठ अभिनेत्री का राष्ट्रीय फिल्म पुरस्कार और चार श्रेणियों में फिल्मफेयर पुरस्कार के सहित कई पुरस्कार और नामांकन प्राप्त किये हैप्रियंका का जन्म  Jamshedpur में हुआ था लेकिन वह बरेली को अपना असली घर समझथी है उनके  माता-पिता  Indiaीय सेना में  चिकित्सक थे 2000 में एक किशोरी के रूप में वह अमेरिका में अपनी चाची के साथ कुछ वर्ष रही अमेरिका में वे  फेमिना मिस इंडिया प्रतियोगिता की दूसरी विजेता रही और मिस इंडिया वर्ल्ड के खिताब के लिए प्रवेश किया जहाँ उन्हे मिस वर्ल्ड का ताज पहनाया गया था इस सम्मान को प्राप्त करने वाली वह पाँचवीं Indiaीय थीचोपड़ा एक समय में इंजीनियरिंग या मनोरोग का अध्ययन करने के आकांक्षी हैं, वह 2002 में तमिल फिल्म थमिज़हन में अपने अभिनय की शुरुआत कर रही है, उसे तमाशा जीत का एक परिणाम के रूप में आया था जो Indiaीय फिल्म उद्योग में शामिल होने के प्रस्ताव स्वीकार किए जाते हैं . अगले वर्ष, वह उसे फिल्मफेयर बेस्ट फीमेल डेब्यू अवार्ड और अभिनेत्री का पुरस्कार फ़िल्मफ़ेयर सर्वश्रेष्ठ के लिए एक नामांकन जीता जो अंदाज, हिट हीरो, उसकी पहली हिंदी फिल्म रिलीज में अभिनय किया  और बॉक्स ऑफिस के साथ पीछा किया वह बाद में एक नकारात्मक भूमिका में सर्वश्रेष्ठ प्रदर्शन के लिए उसे फिल्मफेयर पुरस्कार जीतने, 2004 थ्रिलर एतराज में एक आकर्षकता की भूमिका के लिए विस्तृत महत्वपूर्ण मान्यता अर्जित की . 2006 तक, चोपड़ा बेहद सफल फिल्मों क्रिश और डॉन में अभिनीत भूमिकाओं के साथ हिंदी सिनेमा की एक प्रमुख अभिनेत्री के रूप में खुद को स्थापित किया था असफल फिल्मों की एक श्रृंखला के लिए मिश्रित समीक्षाएँ प्राप्त करने के बाद, वह 2008 नाटक फैशन में एक परेशान मॉडल, 2009 कमिने थ्रिलर में एक feisty मराठी महिला सहित, अपरंपरागत पात्रों के चरित्र को निभाने के लिए आलोचकों की प्रशंसा प्राप्त वारियर, 2011 नव में एक सीरियल किलर - 7 खून माफ़  और 2012 रोमांटिक कॉमेडी बर्फी में एक autistic औरत! वह इस तरह के एक्शन थ्रिलर डॉन 2 (2011), बदला नाटक Agneepath (2012), बर्फी जैसी फिल्मों में अभिनय से आगे व्यावसायिक सफलता हासिल की ! और सुपरहीरो विज्ञान कथा फिल्म क्रिश 3 (2013), जो सभी के सभी समय का सबसे अधिक कमाई करने वाली Indiaीय फिल्मों के बीच रैंक .फिल्मों में अभिनय के अलावा, वह स्टेज शो में भाग लेता है टीवी पर एक रियलिटी शो की मेजबानी की है  और India के राष्ट्रीय अखबारों के लिए कॉलम लिखा है चोपड़ा परोपकारी गतिविधियों में लगे हुए है  और 10 अगस्त 2010 को बाल अधिकार के लिए एक यूनिसेफ के सद्भावना राजदूत के रूप में नियुक्त किया गया था 2012 में, वह "" अपने शहर में "" अपने पहले एकल जारी किया उनका दूसरा एकल ""विदेशी"" 2013 में शुरू हुआ  और संयुक्त राज्य अमेरिका और कनाडा जैसे देशों में सनदीप्रमुख फिल्मेंफिल्मे बतौर प्रोड्युसरसंगीत करियरप्रमुख कलाकार के रूप मेंफीचर्ड कलाकार के रूप मेंअन्यटेलिव्हीजननामांकन और पुरस्कारFilmfare Awards2004 - सर्वश्रेष्ठ नयी अभिनेत्री - अंदाज़2005 - Filmfare Award for Best Performance in a Negative Role - Aitraaz2009 - सर्वश्रेष्ठ अभिनेत्री - Fashion (2008 film)2012 - सर्वश्रेष्ठ अभिनेत्री के लिए आलोच कों का पुरस्कार - 7 Khoon Maaf2016 - सर्वश्रेष्ठ सहायक अभिनेत्री - बाजीराव मस्तानीइन्हें भी देखेंSana Khanकटरीना कैफZareen KhanZoya Afrozमाहिरा खानसबा कमरMeera Chopraसन्दर्भ बाहरी कड़ियाँ "
