,mixed_corpus
0,"सैयद सिब्ते रज़ी (English language: Syed Sibtey Razi, जन्म:7 मार्च 1939 Raebareli, Uttar Pradesh) Indian National Congress पार्टी के एक राजनयिक हैं वे Rajya Sabha के तीन बार सदस्य रहे बाद में उन्हें Jharkhand और Assam का Governor भी बनाया गयाप्रारम्भिक जीवनसिब्ते रज़ी का जन्म Uttar Pradesh के जनपद Raebareli में 7 मार्च 1939 को हुआ उनकी माँ का नाम रज़िया बेगम और बाप का नाम सैयद विरासत हुसैन था उन्होंने हुसेनाबाद हायर सेकेण्डरी स्कूल से दसवीं करने के बाद एक शिया कॉलेज में प्रवेश लिया वहाँ वे छात्र नेता बन गये पढाई के साथ-साथ जेबखर्च निकालने के लिये वे दो-दो होटलों के एकाउण्ट्स भी देखते थे बाद में उन्होंने University of Lucknow से बी०कॉम० कियाराजनीतिक जीवनसिब्ते रज़ी ने 1969 में यू०पी० की यूथ कांग्रेस ज्वाइन कर ली और 1971 में वे इसके अध्यक्ष बना दिये गये 1973 तक वे यूथ काँग्रेस के अध्यक्ष रहे 1980 से 1985 तक Rajya Sabha सदस्य के अतिरिक्त 1980 से 1984 तक Uttar Pradesh कांग्रेस कमेटी के महासचिव भी रहे उन्हें कांग्रेस पार्टी द्वारा दूसरी बार 1988 से 1992 तक तथा तीसरी बार 1992 से 1998 तक Rajya Sabha का सदस्य बनाया गयाविवादास्पद Governorमार्च 2005 में, जब वे Jharkhand के Governor थे, उन्होंने Government में एनडीए के सदस्यों की संख्या को नज़र अन्दाज़ करते हुए Jharkhand मुक्ति मोर्चा के Shibu Soren को Government बनाने का न्योता देकर विवादास्पद भूमिका निभायी इसकी शिकायत मिलते ही तत्कालीन President (government title) A. P. J. Abdul Kalam ने हस्तक्षेप किया और सिब्ते रज़ी (Governor) के निर्णय को उलटते हुए एनडीए के Arjun Munda को 13 मार्च 2005 को उन्हीं Governor द्वारा Chief minister (India) पद की शपथ दिलायीबाहरी कड़ियाँसैयद सिब्ते रज़ी के बारे में जानकारी"
1,"त्रिलोकी नाथ चतुर्वेदी (अंग्रेजी: T.N. Chaturvedi, जन्म: 18 जनवरी 1928) सन् 2002 से 2007 तक Karnataka प्रान्त के Governor रह चुके हैंअवकाश प्राप्त Indian Administrative Service के वरिष्ठ अधिकारी चतुर्वेदी 1984 से 1990 तक Comptroller and Auditor General of India पद पर भी रहे उन्हें भारत सरकार ने सन् 1990 में Padma Vibhushan से अलंकृत किया.21 अगस्त 2002 को उन्हें Karnataka प्रान्त का Governor नियुक्त किया गया Sikander Bakht की मृत्यु के बाद 23 जून 2004 तक उन्हें Kerala के Governor का अतिरिक्त दायित्व भी दिया गया जिसे उन्होंने वखूबी निभाया Karnataka के Governor के रूप में उन्हें अच्छी लोकप्रियता मिलीचतुर्वेदी 21 अगस्त 2007 को Governor के पद से सेवामुक्त हुए died in 5 January 2020. Trilokinath Chaturvedi in kannoj utter perdesh.. References "
2,कलराज मिश्र Indian राजनीतिज्ञ तथा वर्तमान राजस्थान के राज्यपाल हैं वे पूर्व में हिमाचल प्रदेश के राज्यपाल एवं सोलहवीं लोकसभा में सूक्ष्म एवं लघु उघोग मंत्री रहे है लोकसभा चुनाव 2014 में वे Uttar Pradesh की देवरिया सीट से Indian जनता पार्टी के टिकट पर चुनाव लड़कर निर्वाचित हुए थे  कलराज मिश्र ने राजस्थान के नये राज्यपाल के रुप में 09 सितम्बर 2019 को शपथ ग्रहण कीसन्दर्भबाहरी कड़ियाँव्यक्तिगत जालस्थलभारत के राष्ट्रीय पोर्टल पर Member of parliamentों के बारे में संक्षिप्त जानकारी
3,के एन वान्चू India के सर्वोच्च न्यायालय के भूतपूर्व न्यायाधीश रहे हैं
