,mixed_corpus
0,सिमी गरेवाल Hindi फ़िल्मों की एक अभिनेत्री हैंव्यक्तिगत जीवनप्रमुख फिल्मेंबतौर निर्देशकनामांकन और पुरस्कारइन्हें भी देखेंRadhika ApteMamta Kulkarniमन्दाकिनीRiya SenZeenat AmanPaoli DamSonali RautSherlyn Chopraसन्दर्भ बाहरी कड़ियाँ 
1,"सईद जाफ़री (पंजाबी: ਸਈਦ ਜਾਫ਼ਰੀ; ८ जनवरी १९२९ – १५ नवम्बर २०१५) भारत में जन्मे ब्रितानी Actor थे उन्होंने विभिन्न ब्रितानी और हिन्दी फ़िल्मों में Acting किया उनका जन्म मलेरकोटला, पंजाब में एक पंजाबी मुस्लिम परिवार में हुआ उन्होंने द मैन हू वूड बी किंग (१९७५), शतरंज के खिलाड़ी (१९७७), गाँधी (१९८२), ए पैसेज टू इंडिया (१९६५ बीबीसी संस्करण एवं १९८४ फ़िल्म), द फार पैविलियंस (१९८४) और माय ब्यूटीफुल लौन्ड्रेट (१९८५) सहित विभिन्न फ़िल्मों में Acting किया उन्होंने १९८० और १९९० के दशक में विभिन्न बॉलीवुड फ़िल्मों में भी काम किया  सन्दर्भ "
2,"विनोद खन्ना (जन्म: Sunday, October 6, 1946 - निधन: Thursday, April 27 2017) Hindi फ़िल्मों के एक Actor थे जिनका जन्म Peshawar (British Raj) में हुआ था जबकि इनका लम्बे समय से Cancer से पीड़ित रहने की वजह से April 27 2017 को Mumbai के एच एन रिलायंस अस्पताल में निधन  हो गया जीवनविनोद खन्ना का जन्म एक व्यापारिक परिवार में ०October 6 1946 को Peshawar ,British Raj (वर्तमान Pakistan) में हुआ था उनका परिवार अगले साल १९४७ में हुए भारत-पाक विभाजन के  बाद Peshawar से Mumbai आ गया था उनके माता-पिता का नाम कमला और किशनचंद खन्ना था १९६० के बाद की उनकी स्कूली शिक्षा Nashik के एक बोर्डिग स्कूल में हुई वहीं उन्होंने सिद्धेहम कॉलेज से वाणिज्य में स्नातक किया थाइनके तीन पुत्र और एक पुत्री है जिसमें Akshaye Khanna और Rahul Khanna जो कि दोनों फ़िल्म Actor है April 27 2017 को लम्बे समय से Cancer से पीड़ित रहने के कारण Mumbai के एच एन रिलायंस अस्पताल में निधन हो गयाकैरियरफिल्मी सफरउन्होंने अपने फ़िल्मी सफर की शुरूआत १९६८ में आयी फ़िल्म ""मन का मीत"" से की जिसमें उन्होंने एक खलनायक का अभिनय किया था कई फ़िल्मों में उल्लेखनीय सहायक और खलनायक के किरदार निभाने के बाद १९७१ में उनकी पहली एकल हीरो वाली फ़िल्म Hum Tum Aur Woh (1971 film) आयी कुछ वर्ष के फ़िल्मी संन्यास, जिसके दौरान वे आचार्य Rajneesh के अनुयायी बन गए थे, के बाद उन्होंने अपनी दूसरी फ़िल्मी पारी भी सफलतापूर्वक खेली और 2017 तक फ़िल्मों में सक्रिय रहेराजनैतिक कैरियरवर्ष १९९७ और १९९९ में वे दो बार Punjab के Gurdaspur क्षेत्र से Bharatiya Janata Party  की ओर से सांसद चुने गए थे जबकि २००२ में वे संस्कृति और पर्यटन के केन्द्रिय मंत्री भी रहे इसके बाद सिर्फ ६ माह पश्चात ही उनको अति महत्वपूर्ण विदेश मामलों के मंत्रालय में राज्य मंत्री बना दिया गया थाप्रमुख फिल्मेंबतौर निर्मातानामांकन और पुरस्कार1999 में उनको फ़िल्मों में उनके 30 वर्ष से भी ज्यादा समय के योगदान के लिए Filmfare Awards के लाइफटाइम अचीवमेंट अवार्ड से सम्मानित भी किया गया 2018 में उन्हें मरणोपरांत भारतीय सिनेमा के सर्वोच्च पुरस्कार, Dadasaheb Phalke Award से सम्मानित किया गया सन्दर्भ "
3,"विनोद मेहरा (जन्म: 13 फरवरी, 1945 निधन: 30 अक्टूबर, 1990) Hindi फ़िल्मों के एक Actor थे  व्यक्तिगत जीवन कश्यप वंश के सितारेफिल्मी सफरमुक़द्दर का सिकंदरप्रमुख फिल्मेंबतौर निर्देशक पुरस्कार "
