,mixed_corpus
0,"पुलकित सम्राट (जन्म: 29 दिसम्बर 1983) एक Indiaीय Actor हैं, जो 2006 के धारावाहिक Kyunki Saas Bhi Kabhi Bahu Thi में लक्ष्य वीरानी के अपने किरदार के कारण जाने जाते हैं इन्होने फिल्मों में अभिनय की शुरुआत बिट्टू बॉस नामक फ़िल्म से की इसके पश्चात 2013 में Fukrey नामक फ़िल्म की थीनिजी जीवनयह पहले Delhi में रहते थे और 2005 को यह Delhi से मुंबई आए और किशोर नमित कपूर से अभिनय सीखा यह 3 नवम्बर 2014 को गोवा में श्वेता रोहिरा के साथ शादी की यह श्वेता से 2010 में मुंबई में मिले थेअभिनयपुलकित 2005 में मुंबई में आए और इसके पश्चात वह 2006 में Kyunki Saas Bhi Kabhi Bahu Thi नामक धारावाहिक में लक्ष्य वीरानी का किरदार निभाया और इसी के दौरान उन्हें दर्द के कारण 2007 में इस धारावाहिक को छोड़ना पड़ा वह इलाज हेतु दुबई गए और आने के बाद उन्हें पसंदीदा नया सदस्य स्टार परिवार और सर्वश्रेष्ठ नया चेहरा Indiaीय टेली पुरस्कार मिलाफिल्मेंधारावाहिकसन्दर्भबाहरी कड़ियाँIMDb पर पुलकित सम्राट"
1,"कोयल राणा (जन्म-४ जनवरी,१९९३), एक भारतीय मॉडल और सोंदर्य प्रतियोगिता शीर्षक धारक जिन्हें फेमिना मिस इन्दिअस २०१४ के ताज से नवाजा गया था लन्दन में हुए मिस वर्ल्ड २०१४ में भारत का प्रतिनिधित्व कर चुकी हैप्रारंभिक जीवन और शिक्षाकोयल राणा को ५ अप्रैल २०१४ को फेमिना मिस इंडिया के विजेता के ताज से नवाजा गया नई दिल्ली के सेंट थॉमस स्कूल से उन्होंने अपनी स्कूली शिक्षा पूरी की उन्होंने दिल्ली विश्वविद्यालय के कॉलेज दीन दयाल कॉलेज से बैचलर ऑफ़ बिजनेस स्टडीज में अपना स्नातक कार्यक्रम पूरा किया २०१४ में दिल्ली विश्वविद्यालय से उन्होंने बिजनेस छात्र के रूप में स्नातक कियासामाजिक कार्य१९ वर्ष की आयु में २०१२ में उन्होंने एक गैर सरकारी संघठन(एनजीओ) मोक्ष फाउंडेशन की नीव रखी संघठन की उन्नति और सभी गतिविधियों में वह एक सहायक भूमिका निभाती है एफबीबी फेमिना मिस इंडिया प्रतियोगिता में प्रसिद्ध लोगो की जूरी के लिए स्वस्थ भव्य प्रोजेक्ट प्रस्तुत किया था व स्वस्थ्य तथा स्वच्छता के क्षेत्र में उनका विशेष योगदान देख कर उन्हें ""मिस ब्यूटी"" पुरस्कार से नवाजा गया कोयल ने प्रत्येक बार बच्चों के साथ अपनी प्रतिक्रियाओं की जांच करने के लिए विभिन्न सामग्री का उपयोग करके परियोजना के बारे में जागरूकता बढ़ाने के लिए एक दर्जन से अधिक स्कूलों का दौरा किया हैफेमिना मिस इंडिया २०१४५ अप्रैल २०१४ को मुंबई में एक समारोह में ५१ वें फेमिना मिस इंडिया फेमिना मिस इंडिया वर्ल्ड २०१४, का राज्याभिमान किया गया था मिस इंडिया में प्रवेश करने से पहले, उन्होंने फेमिना मिस इंडिया दिल्ली २०१४ पेजेंट में भाग लिया और उन्हें विजेता घोषित किया गया और वहां से उन्हें मिस इंडिया 2014 में सीधे प्रवेश मिलामिस वर्ल्ड २०१४फेमिना मिस इंडिया वर्ल्ड २०१४ का खिताब जीतने के बाद मिस वर्ल्ड २०१४ में भारत का प्रतिनिधित्व किया उन्होंने शीर्ष १० में अपना स्थान बनाया (सर्वोच्च अंक बनाये)मिस वर्ल्ड २०१४ में कोयल को ""बेस्ट परफ़ॉर्मर"" का पुरस्कार मिलाएन्दोर्सेमेंट्स१.कोयल कई ब्रांडों जैसे रिबॉक, कोका-कोला, टाटा डोकोमो, यामाहा, न्यूट्रोजेना, गार्निअर इंडिया और सोनी जैसे कई ब्रांडों के लिए सक्रिय रूप से सक्रिय रूप से संलग्न हैं२.कोयल रीबॉक और न्यूट्रोजेना के ब्रांड एंबेसडर हैं सन्दर्भ "
2,"भुवन बाम (जन्म २२ जनवरी १९९४)  Delhi, India के एक Indiaीय हास्य कलाकार, गायक, गीतकार और YouTube व्यक्तित्व हैं उन्हें उनके YouTube कॉमेडी चैनल बीबी की वाइन्स के लिए जाना जाता है भुवन २०१८ में १० मिलियन सब्सक्राइबर को पार करने वाले अमित भड़ाना के साथ पहले Indiaीय YouTubeर बने थेअंक ०१ सिंधी (YouTubeर)Ashish Chanchlaniप्रारंभिक जीवन और शिक्षाभुवन बाम का जन्म २२ जनवरी १९९४ को बड़ौदा, Gujarat[कृपया उद्धरण जोड़ें] में हुआ था आगे चलकर उनका परिवार Delhi आ गया उन्होंने अपनी स्कूलिंग ग्रीन फील्ड्स स्कूल, Delhi से की और शहीद भगत सिंह कॉलेज से स्नातक की उपाधि प्राप्त की भुवन बाम ने अपने करियर की शुरुआत एक संगीतकार के रूप में रेस्तरां में की और बाद में उन्होंने खुद के गानों की रचना शुरू कीYouTube कैरियरभुवन बाम ने अपने इंटरनेट करियर की शुरुआत एक न्यूज रिपोर्टर के व्यंग्यात्मक वीडियो से की, जिसने Kashmir बाढ़ के कारण एक महिला से अपने बेटे की मौत के बारे में असंवेदनशील सवाल पूछा, जिसे Facebook पर लगभग १५ विचार मिले उनका पहला वीडियो Pakistan में वायरल हुआ, जिसने जून २०१५ में बाम को अपना खुद का YouTube चैनल बनाने के लिए प्रेरित कियाबीबी की वाइन्सबीबी की वाइन्स एक YouTube चैनल है, जिसके २-८ मिनट के लंबे वीडियो में एक शहरी किशोरों के जीवन को दर्शाया गया है, और उसके दोस्तों और परिवार के साथ उसकी सनसनीखेज बातचीत - सभी खुद बाम द्वारा निभाई गई हैं वीडियो को बाम द्वारा एक फोन पर फ्रंट कैमरे का उपयोग करके फिल्माया गया है उन्होंने मूल रूप से अपने वीडियो Facebook पर अपलोड किए, और फिर YouTube पर चले गए बाम इंडिया फिल्म प्रोजेक्टिन २०१८ में एक अतिथि वक्ता थे, जहां उन्होंने India के सबसे बड़े 'डिजिटल स्टार' बनने की अपनी यात्रा के बारे में बताया था फेस्टिवल में उन्होंने मल्लिका दुआ और कनीज़ सुरका के साथ India में कॉमेडी के परिदृश्य पर भी चर्चा कीसन्दर्भबाहरी कड़ियाँIMDb पर भुवन बामभुवन बाम Facebook परभुवन बाम Instagram परTwitter पर भुवन बाम"
3,"बरुन सोबती (जन्म 21 जून 1984) सबसे प्रसिध Indiaीय टीवी और फिल्म कलाकार में से एक हैं उन्होंने अपने करियर की शुरुआत स्टार प्लस के टेलीविज़न श्रंखला श्रद्धा से की |उनका पहला मुख्य किरदार Baat Hamari Pakki Hai में था |उन्हें लोकप्रियता  इस प्यार को क्या नाम दूं सीरियल से हुई जिसमे उन्होंने एक एक व्यापारी अर्नब सिंह रायजादा  का किरदार निभाया |प्रारंभिक जीवन और परिवारउन्होंने अपनी स्कूली शिक्षा सेंट मार्क स्कूल, नई Delhi से की |एंटरटेनमेंट उद्योग में आने से पहले उन्होंने जिंदल टेलिकॉम में ७ वर्षो तक काम किया |उन्होंने 12 दिसम्बर 2010 को गुरुद्वारा में पश्मीन मनचंदा से शादी कर ली |कैरियरसोबती ने  पहली बार स्टार प्लस के शो श्रद्धा में स्वयं खुरानाएँ के किरदार को निभाया जो कम trp के वजह से जल्द ही ख़तम हो गया |उसके बाद उन्होंने Dill Mill Gayye में डॉ॰राज का किरदार निभाया |सोबती ने फिर स्टार प्लस के लोकप्रिय शो इस प्यार को क्या नाम दूं  में अर्नव सिंह रायजादा का किरदार निभाया |सोबती के शो छोड़ने के एलान के बाद शो के निर्माताओं ने शो को समाप्त कर दिया |2013 में UK के मैगज़ीन ईस्टर्न ऑय ने उन्हें एशिया का तीसरा सबसे सेक्सी आदमी चुना |उन्होंने अपने बॉलीवुड कैरियर की शुरुआत  Main Aur Mr. Riight के माध्यम से की जो 12 दिसंबर, 2014 को प्रदर्शित हुआ    सोबती ने सत्रा को शादी है नाम के फिल्म 2014 में हस्ताक्षर की जिसको 2016 में प्रदर्शित होना हैफिल्मोग्राफीटेलीविजनपुरस्कार और नामांकनसन्दर्भबाहरी कड़ियाँIMDb पर बरुन सोबती"
