,mixed_corpus
0,"शिवाजी साटम एक भारतीय फ़िल्म Actor है जिन्होंने सीआईडी आदि धारावाहिकों में भी कार्य किया हैअभिनयइन्होंने पहली बार 1980 में रिश्ते-नाते नाम के एक लोकप्रिय धारावाहिक के साथ अभिनय की शुरुआत की थी इसके बाद इन्हें फ़ेमस ट्रायल्स ऑफ इंडिया में भी देखा गया था इसके बाद इन्होंने एक सफल मराठी धारावाहिक एक शून्य शून्य में भी काम किया और उसके बाद अन्य धारावाहिकों और फिल्मों में काम करने लगेकई फिल्मों में अभिनय करने के बाWajood (1998 film), इन्हें सीआईडी में अपने एसीपी प्रद्युम्न के किरदार के कारण लोकप्रियता हासिल हुई ये सीआईडी में 1997 से काम कर रहे हैं और अपने इस किरदार के कारण कई सारे पुरस्कार भी जीत चुके हैं 2013 में इन्होंने सारा वक्त फिल्मों में काम करने में बिताने का फैसला किया था, पर लोगों की मांग को देखते हुए वापस सीआईडी में एसीपी प्रद्युम्न के किरदार में लौट आएफिल्मेंTaxi No. 9211विरुद्धनिदानNayak (2001 Hindi film)China Gate (1998 film)Wajood (1998 film)धारावाहिकCID (Indian TV series)सन्दर्भ बाहरी कड़ियाँ "
1,श्रेयस तलपड़े भारतीय Hindi फ़िल्म अभिनेता हैं यह फ़िल्म निर्देशन करने का कार्य भी कर चुके हैंव्यक्तिगत जीवनप्रमुख फिल्मेंनामांकन और पुरस्कार२००५ - नामित - फिल्मफेयर बेस्ट मेल डेब्यू अवार्ड - इकबाल२००६ - विजेता - ज़ी सिने क्रिटिक अवार्ड फॉर बेस्ट एक्टर - इकबाल२००७ - विजेता - स्टार स्क्रीन अवार्ड फॉर बेस्ट कॉमेडियन - डोर२००८ - नामित - फिल्मफेयर बेस्ट सपोर्टिंग एक्टर अवार्ड - Om Shanti Om२००८ - विजेता - स्टारडस्ट ब्रेकथ्रू परफॉरमेंस अवार्ड (मेल) - Om Shanti Omसन्दर्भ बाहरी कड़ियाँ 
2,"सिद्धार्थ रामचंद्र जाधव एक Indian अभिनेता और हास्य अभिनेता हैं उन्होंने टेलीविजन धारावाहिकों के अलावा मराठी और हिंदी फिल्मों में अभिनय किया है उन्होंने Golmaal: Fun Unlimited और Golmaal Returns जैसी कई बॉलीवुड फिल्मों में अभिनय किया है उनका मानना ​​है कि उनका पहला प्यार मराठी फिल्म, टीवी और मंच है जाधव ने एक बंगाली फिल्म में भी अभिनय किया था, उस फिल्म का नाम अमी सुभाष बोलची था और उन्होंने मिथक चक्रवर्ती का किरदार निभाया था २०१८ में Ranveer Singh और Sara Ali Khan मुख्य भूमिका में रिलीज हुई Simmba में उन्हें इंस्पेक्टर संतोष तावड़े का किरदार निभाया सन्दर्भ "
3,विक्रम गोखले हिन्दी फ़िल्मों के एक अभिनेता और टेलीविज़न कलाकार हैंफिल्मी सफरपुरस्कारव्यक्तिगत जीवनप्रमुख फिल्मेंनामांकन और पुरस्कारसन्दर्भ बाहरी कड़ियाँ 
