,mixed_corpus
0,"ममता शंकर एक भारतीय अभिनेत्री है वह बंगाली सिनेमा में उनके काम के लिए जाने जाते हैं उनका जन्म ७ जनवरी १९५५ में नर्तकियों उदय शंकर और अमला शंकर के घर हुआ था वह पंडित रवि शंकर जी की भतीजी थीं और उनका भाई आनंद शंकर एक इंडो-वेस्टर्न फ्यूजन संगीतकार था उन्होंने सत्यजीत रे, मृणाल सेन, ऋतुपर्णा घोष, बुद्धदेव दासगुप्ता और गौतम घोष जैसे निर्देशकों की फिल्मों में अभिनय किया है एक अभिनेत्री होने के अलावा, वह एक नृत्यांगना और कोरियोग्राफर हैव्यवसायममता शंकर ने १९७६ में मृणाल सेन द्वारा निर्देशित फिल्म मृगयाया के साथ अपने कर्रिएर की शुरुआत की और उस फिल्म ने वर्ष के लिए सर्वश्रेष्ठ फीचर फिल्म का राष्ट्रीय फिल्म पुरस्कार भी जीता ममता शंकर ने १९८६ में एक ममता शंकर डांस कंपनी- उद्यान चलाई जो पूरे विश्व में व्यापक रूप से यात्रा करता है, जिसमें 'ममता शंकर बैले ट्रुप' भी शामिल हैपुरस्कार१९९२ में उन्होंने स्पेशल ज्यूरी अवार्ड: एजंटुक का पुरुस्कार हासिल किया१९९३ में ""शाखा परीक्ष"" के लिए बीएफजेए पुरस्कार-सर्वश्रेष्ठ सहायक अभिनेत्री का पुरस्कार जीता२००० में ""उत्सव"" के लिए बीएफजेए पुरस्कार-सर्वश्रेष्ठ सहायक अभिनेत्री का पुरस्कार हासिल किया सन्दर्भ "
1,मुनमुन सेन Cinema of India की एक प्रमुख अभिनेत्री हैं वह Suchitra Sen की बेटी हैंव्यक्तिगत जीवनप्रमुख फिल्मेंनामांकन और पुरस्कारसन्दर्भ बाहरी कड़ियाँ 
2,मौसमी चटर्जी हिन्दी फिल्म की अभिनेत्री हैंजीवनमौसमी चटर्जी कलकत्ता (अब Kolkata) में जन्मी हैं उनके पिता फौज में थे इसके अलावा उनके दादा जज के रूप में काम कर चुके थे उनका एक भाई तथा बहन भी हैं उनका विवाह बहुत ही कम उम्र में जयंत मुख़र्जी से हुआ था वे महान गायक हेमंत कुमार के पुत्र थे उनकी दो बेटियां हैं जिनके नाम पायल और मेघा हैं उन्होंने अपना फ़िल्मी सफ़र शादी के बाद शुरू किया था जो कि उस समय बड़ी ही अनोखी बात थीफिल्मी सफरप्रमुख फिल्में पुरस्कार एवं नामांकन 
3,"प्रत्युषा बनर्जी एक Indiaीय अभिनेत्री थीं जो कलर्स पर प्रसारित होने वाले धारावाहिक बालिका वधु में आनंदी के किरदार के लिए जानी गई वो रियलिटी शो Jhalak Dikhhla Jaa सीजन 5 व Bigg Boss (Hindi TV series) सीजन 7 की प्रतिभागी भी रही थीं इनके अलावा उन्होंने Sasural Simar Ka, Hum Hain Na, Comedy Classes, Aahat, व Savdhaan India आदि कार्यक्रमों में भी योगदान दियाप्रारंभिक जीवनइनका जन्म 10 अगस्त 1991 में Jamshedpur, Jharkhand में हुआ थाबाद में टीवी और फिल्मों में काम करने के लिए ये Mumbai आ गयीं इनके पिता का नाम शंकर और माँ का नाम सोम्या बनर्जी हैव्यक्तिगत जीवनप्रत्युषा की अप्रैल 2015 में निर्माता विकास गुप्ता के साथ डेटिंग करने की अफवाह आई थी हालांकि, अगस्त 2015 में यह बताया गया है कि बनर्जी ने व्यापारी मकरंद मल्होत्रा के साथ उसके संबंध टूटने के बाद अभिनेता और निर्माता राहुल राज सिंह से डेटिंग करना शुरू कर दिया हैमृत्यु1 अप्रैल 2016 को इन्होंने फांसी लगा कर आत्महत्या कर लीइन्हें अत्यंत गंभीर अवस्था में अस्पताल में भर्ती कराया गया कोकिलाबेन अस्पताल में इनकी मौत की पुष्टि कर दी गयी प्रत्यूषा ने अपने कमरे में ही रस्सी से खुद को लटका लिया प्रत्यूषा मात्र 24 साल की थीं राहुल राज सिंह से प्रत्यूषा की शादी होने वाली थी इन दोनों ने ही एक रियालिटी शो Power Couple (Indian TV series) में भी हिस्सा लिया थाकरीब 12 घंटे बाद उनके ब्वॉयफ्रेंड राहुल राज ने Mumbai पुलिस के पास बयान दर्ज़ कराया राहुल ने कहा, मैं डर गया था इसलिए पुलिस को इन्फॉर्म नहीं किया""प्रत्यूषा एक महीने से तनाव में थीं Vikram Bhatt ने उन्हें फिल्म ऑफर की थी पर वह फिल्म बन नहीं सकी जनवरी 2016 में प्रत्यूषा का पुलिस से झगड़ा हुआ था प्रत्यूषा ने पुलिस और बैंक वालों पर मारपीट व छेड़छाड़ का आरोप लगाया था केस भी दर्ज कराया था इसके बाद वे Kandivali फ्लैट छोड़कर Goregaon लिंक रोड की हार्मोनी बिल्डिंग में शिफ्ट हो गई थींपोस्टमॉर्टम में इनके गर्भाशय में सफेद रंग का गाढ़ा तरल पाया गया, जो गर्भकाल के शुरुआती समय की तरफ इशारा करता है सर्जन डॉ एसएम पाटिल ने इसकी पुष्टि की तरल को स्टोर कर के, हिस्टोपैथोलॉजी टेस्ट के लिए भेजा गयाइनका अंतिम संस्कार 2 अप्रैल को Mumbai में कर दिया गयाटेलीविज़न सन्दर्भ "
