,mixed_corpus
0,राजेन्द्रनाथ ज़ुत्शी Hindi फ़िल्मों के एक Actor हैंव्यक्तिगत जीवनप्रमुख फिल्मेंनामांकन और पुरस्कारसन्दर्भ बाहरी कड़ियाँ 
1,"सना दुआ (English: Sana Dua) एक भारतीय मॉडल और सौंदर्य विज्ञापन शीर्षक धारक है, जो 2017 में Femina Miss India की पहली उप विजेता थी उसने सितंबर 2017 में ग्वायाकिल, इक्वाडोर में मिस संयुक्त मकसद प्रतियोगिता में भाग लिया सना इससे पहले स्टाइल दीवा-2016 भी बन चुकी हैंप्रारंभिक जीवन और पृष्ठभूमिसना 1993 में असम में एक सिख परिवार में पैदा हुआ थी, जड़ें Jammu and Kashmir (state) में हैं उनके पिता भारतीय सेना में थे सना ने Noida में सेना पब्लिक स्कूल में पांच साल तक अध्ययन किया सना के बड़े भाई वरुण दुआ, चंडीगढ़ में इंफोसिस के साथ सॉफ्टवेयर इंजीनियर हैं वह चंडीगढ़ में पंजाब विश्वविद्यालय में स्नातक स्तर की पढ़ाई समाप्त कर चुकी हैं उन्होंने 2015 में ग्लैमर वर्ल्ड में प्रवेश करने से पहले कानून का अभ्यास किया  सना ने एक वकील के साथ संलग्न होने के एक साल के लिए Jammu and Kashmir (state) उच्च न्यायालय में काम कियाइन्हें भी देखेंMehreen PirzadaManushi ChhillarYami Gautamअतिशा प्रताप सिंहअनुकृति गुसांईसन्दर्भबाहरी कड़ियाँपरिचय सना दुआ  मिस यूनाइटेड महाद्वीपों भारत 2017सना दुआ"
2,संजय काक  (जन्म 1958) भारतीय वृत्तचित्र चलचित्र निर्माता हैं उनका कार्य मुख्यतः पर्यावरण सक्रियता और प्रतिरोध की राजनीति जैसे सामाजिक मुद्दों पर आधारित होता है उन्होंने University of Delhi से अर्थशास्त्र और समाजशास्त्र में शिक्षा प्राप्त की एवं बाद में फ़िल्म निर्माण की आत्मशिक्षा प्राप्त की सन्दर्भ 
3,संजय सूरी Hindi फ़िल्मों के एक Actor हैंव्यक्तिगत जीवनप्रमुख फिल्मेंनामांकन और पुरस्कारसन्दर्भ बाहरी कड़ियाँ 
