,mixed_corpus
0,विजय मांजरेकर (२६ सितम्बर १९३१ - १८ अक्तूबर १९८३) एक पूर्व Indiaीय क्रिकेट खिलाड़ी थे इन्होंने Indiaीय क्रिकेट टीम के लिए वर्ष १९५१-५२ से १९६५ तक Test cricket खेला था ये पूर्व Indiaीय क्रिकेट खिलाड़ी Sanjay Manjrekar के पिता हैं Sanjay Manjrekar ने India के लिए ३७ टेस्ट और ७४ एक दिवसीय अंतरराष्ट्रीय क्रिकेट मैच खेले थे विजय मांजरेकर मुख्य रूप से दाहिने हाथ के बल्लेबाज थे जिन्होंने ५५ टेस्ट मैच खेले थे जिसमें ३२०८ रन बनाये थेइन्होंने Indiaीय क्रिकेट टीम के लिए इन्होंने ३० दिसम्बर १९५१ को Test cricket में पदार्पण किया था और वह मैच England cricket team के खिलाफ कोलकता के ईडन गार्डन्स मैदान पर खेला गया था जिसमें ४८ रनों की पारी खेली थी जबकि अंतिम मैच इन्होंने २७ फरवरी से २ मार्च १९६५ को New Zealand national cricket team के खिलाफ खेला था जिसमें दूसरी में १०२ रनों की शतकीय पारी खेली थीविजय मांजरेकर का निधन ५२ साल की उम्र में १८ अक्तूबर १९८३ को Chennai) तमिलनाडु में हुआ था सन्दर्भ 
1,"विजय सिंह माधवजी मर्चेंट, असली नाम विजय माधव ठाकरसे (12 अक्टूबर 1911 - 27 अक्टूबर 1987) भारतीय क्रिकेट खिलाड़ी थे वह दाएं हाथ के बल्लेबाज और कभी-कभी दाएं हाथ से मध्यम गति की गेंदबाज करते थे विजय ने बॉम्बे क्रिकेट टीम के साथ-साथ 1929 और 1951 के बीच भारत के लिए 10 टेस्ट मैच खेलें उनके सीमित टेस्ट मैचों के अलावा उन्होंने भारतीय घरेलू क्रिकेट पर अपना दबदबा बनाये रखा उनकी 71.64 की बल्लेबाजी औसत इतिहास में Don Bradman के बाद दूसरी सबसे ज्यादा प्रथम श्रेणी औसत हैघरेलू क्रिकेटविजय का जन्म 1911 में बम्बई के एक अमीर परिवार में हुआ था घरेलू क्रिकेट में उनकी लगातार कामयाबी के कारण उन्हें Bombay Gymkhana में भारत की राष्ट्रीय टीम का मेहमान अंग्रेज टीम के खिलाफ होने वाले मैच में खेलने के लिए बुलाया गया यह भारतीय मिट्टी में खेला जाने वाला पहला टेस्ट भी थाअंतर्राष्ट्रीय कैरियरविजय का टेस्ट करियर 18 साल का रहा, लेकिन इस दौरान उन्होंने केवल दस टेस्ट मैच खेलें उनके करियर के कुछ सबसे अच्छे साल दूसरे विश्व युद्ध के कारण बेकार चले गये उस वक्त कोई भी अंतर्राष्ट्रीय क्रिकेट नहीं खेला गया था खराब स्वास्थ्य के कारण वह ऑस्ट्रेलिया और वेस्टइंडीज के दौरे पर भी जाने से चूक गए थे हालांकि, विजय ने इंग्लैंड में इंग्लैंड के खिलाफ अपने आखिरी टेस्ट मैच में 154 रन बनाए यह उनका सर्वोच्च टेस्ट स्कोर भी था उस मैच में क्षेत्ररक्षण करते समय कंधे में लगी चोट ने उन्हें संन्यास लेने के लिए मजबूर कर दिया विजय के टेस्ट करियर के सभी दस मैच इंग्लैंड के खिलाफ थे सन्दर्भ "
2,"विनोद गणपत काम्बली ( (जन्म 18 जनवरी 1972, Mumbai, महाराष्ट्र, भारत) पूर्व भारतीय Cricket खिलाड़ी हैं, जिन्होंने भारत के लिए मध्यक्रम बलेबाज़ के लिए और समान रूप से Mumbai और बोलांड, दक्षिण अफ़्रीका के लिए खेलते थे वो मसहूर Cricket खिलाड़ी Sachin Tendulkar के बचपन के दोस्त हैं वर्तमान में वो विभिन्न टेलीविजन चैनलों पर Cricket विशेषज्ञ और टीकाकार के रूप में दिखाई देते हैं उन्हें विभिन्न रियलिटी शोज में भी देखा जाता हैसन्दर्भबाहरी कड़ियाँक्रिकैन्फ़ो पर विनोद काम्बली की प्रोफाइल"
3,वीनू हिम्मतलाल मन्कद को Sport के क्षेत्र में India सरकार द्वारा सन 1973 में Padma Bhushan से सम्मानित किया गया था ये Gujarat से हैंवीनू मांकड का जन्म 12 अप्रैल 1917 को हुआ थावीनू मांकड ऐसे पहले Indiaीय खिलाड़ी हैं जिन्होंने टेस्ट क्रिकेट में 2000 से अधिक रन व 100 से अधिक विकेट लिए हैंवह पहले Indiaीय खिलाड़ी थे जिन्होंने दोहरे शतक बनाएवीनू मांकड ने 44 टेस्टों में India का प्रतिनिधित्व किया21 अगस्त 1978 को इस महान खिलाड़ी की मृत्यु हो गई सन्दर्भ 
