,mixed_corpus
0,"द्रव नोदन प्रणाली केंद्र Indian Space Research Organisation का एक महत्वपूर्ण केंद्र है यह केंद्र तीन स्थानों में स्थित है, पहला तिरुवनंतपुरम के वलियमला में, दूसरा तिरुनेलवेली के Mahendragiri पहाड़ियों में और तीसरा बेंगलुरु में स्थित है इन केंद्रों में मुख्यतः द्रव एवं क्रयोजेनिक राकेट ईंधनो पर कार्य होता हैइन्हें भी देखेंइसरोIndian Institute of Space Science and TechnologyVikram Sarabhai Space Centreद्रव नोदन प्रणाली केंद्रSpace Applications Centreराष्ट्रीय सुदूर संवेदन केंद्रIndian Institute of Remote SensingPhysical Research Laboratory, अहमदाबादNational Atmospheric Research LaboratorySemi-Conductor LaboratorySatish Dhawan Space CentreU R Rao Satellite CentreMaster Control Facilityबाहरी कड़ियाँद्रव नोदन प्रणाली केंद्र का जालघर"
1,वी श्रीनिवास राघवन अरुणाचलम  एक Indiaीय वैज्ञानिक हैं जिन्हें India सरकार ने प्रशासकीय सेवा के क्षेत्र में सन 1986 में Padma Bhushan से सम्मानित किया था ये Delhi से हैं  सन्दर्भ 
2,ह्वाइट हाउस United States के वाशिंगटन डीसी में स्थित एक Building का नाम है यह अमेरिका के राष्ट्रपति का आधिकारिक निवास तथा मुख्य कार्यस्थल है बाहरी कड़ियाँ 
3,"कोल्लंगुडी करुप्पेयी  (Tamils:  கொல் {்கருப பாயி்) एक  Tamils लोक गायक हैं जिन्होंने फिल्मों में भी प्रदर्शन किया है  उन्हें Tamils लोक संगीत के अग्रदूतों में से एक माना जाता है, अपनी शैली और फिल्मों में प्रदर्शन करने वाली पृष्ठभूमि के रूप में, उन्होंने कई अन्य लोक कलाकारों के लिए एक प्रेरणा के रूप में काम कियाउन्होंने फिल्मों में अपने अभिनय से लगभग तीस साल पहले ऑल इंडिया रेडियो पर एक कलाकार के रूप में अपना करियर शुरू किया थाउन्होंने  संगीत में योगदान के लिए प्रतिष्ठित कलीममणि का पुरस्कार प्राप्त किया हैंफिल्मोग्राफीअभिनेता के रूप मेंगायक के रूप मेंएक गाने की रिकॉर्डिंग के लिए मदुरै जाते समय उनकी आंखों के सामने उनके पति की मृत्यु हो गई, इस दुखद घटना ने उन्हें बदनाम कर दिया और सिने प्रस्तावों को बंद कर दिया, बाद में उनकी बेटी की भी सड़क दुर्घटना में मृत्यु हो गई जिसने उसे मानसिक रूप से कमजोर बना दिया सन्दर्भ "
